Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Stage1_Pass,Scope_Category,Skin_Terms,Aging_Terms,Sample_Terms,Age_Contrast_Terms,Intervention_Terms,Incidental_Signals,Off_Topic_Signals,Central_Sentences,Submission_Date,GEO_Link
GSE235459,p63 and p73 cooperate to promote cutaneous squamous cell carcinoma through largely overlapping transcriptional programs [RNA-Seq],exclude,-1,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,exclude,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,two_stage_rule,True,intrinsic_skin_aging,skin; cutaneous; epidermis,senescence,,,,,cancer,0,2026/08/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235459
GSE235461,p63 and p73 cooperate to promote cutaneous squamous cell carcinoma through largely overlapping transcriptional programs [ChIP-Seq],exclude,-1,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,exclude,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,two_stage_rule,True,intrinsic_skin_aging,skin; cutaneous; epidermis,senescence,,,,,cancer,0,2026/08/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235461
GSE293695,Senotherapeutic potential against xeroderma pigmentosum,exclude,6,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,intrinsic_skin_aging,skin; melanocyte,skin_aging; photoaging; aging_generic; senescence; rejuvenation,,,anti_aging_intervention,,,3,2026/08/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293695
GSE343755,Transcriptomic profiling of multiple tissues from aged mice with endothelial-specific Slc2a3 (GLUT3) overexpression,exclude,2,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,intrinsic_skin_aging,skin,age_related; aging_generic; aged,,,,,,0,2026/08/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE343755
GSE343903,Single-Cell Analysis of the Aging Human Periovulatory Follicle Reveals Granulosa Cell Dysfunction and Immune Dysregulation,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; senescence,,,,,reproductive,0,2026/08/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE343903
GSE305897,Uncovering the transcriptional hallmarks of endothelial cell aging via integrated single-cell analysis [RNA-Seq],exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,age_related; aging_generic; senescence,,,,,,0,2026/08/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305897
GSE305898,Uncovering the transcriptional hallmarks of endothelial cell aging via integrated single-cell analysis [RNA-Seq 2],exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,age_related; aging_generic; senescence,,,,,,0,2026/08/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305898
GSE343822,Hyaluronic acid microneedle delivery of frog skin-derived small extracellular vesicles for UVR-induced photoaging repair,include,15,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; dermis; dermal_fibroblast; keratinocyte,skin_aging; photoaging; aging_generic,dermal_sample; keratinocyte_sample,photoaging_model,anti_aging_intervention,,,0,2026/08/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE343822
GSE326957,Ovarian extracellular matrix mechanics regulate oocyte-follicle interactions during female reproductive aging,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; aged; young_vs_old,,,,,reproductive,0,2026/08/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326957
GSE325735,Transcriptomic reprogramming screen identifies SRSF1 as a central regulator of aging and lifespan,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; aged; senescence; rejuvenation,,,,,,0,2026/08/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325735
GSE326022,Transcriptomic reprogramming screen identifies SRSF1 as a central regulator of aging and lifespan - EPIC,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; aged; senescence; rejuvenation,,,,,,0,2026/08/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326022
GSE338034,Targeted ATAC-see (tATAC-see): A Visual Assay for Target-Specific Chromatin Profiling,exclude,3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic,dermal_sample,,,,,0,2026/07/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE338034
GSE338065,Visualizing the Epigenetic Landscape of Aging and Cellular Reprogramming: Optimized ATAC-see for cells and tissues,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; aged; rejuvenation,,,,,,0,2026/07/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE338065
GSE301192,"XRCC1 Deficiency Drives Telomeric Chromatin Leakage, Inflammatory signaling and Senescence in Cancer Cells",exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,cancer,0,2026/07/08,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301192
GSE315794,Non-ablative fractional laser 1940nm treatment series modulates epigenetic pathways and signs of skin aging: a split face investigation,include,12,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,intrinsic_skin_aging,skin; cutaneous; epidermis,skin_aging; age_related; aging_generic; rejuvenation,,,aged_skin_treatment,,,2,2026/07/08,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315794
GSE179925,Expression data of human facial skin metabolites isolated from minimally invasive microneedles,exclude,8,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin,,skin_direct; skin_tissue,,,,,0,2026/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179925
GSE280255,In vivo single-cell ribosome profiling reveals cell-type-specific translational programs during aging,include,18,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,aged_skin; aging_generic; aged; young_vs_old,skin_direct; skin_tissue; epidermal_sample,young_vs_old; age_groups,,,,1,2026/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280255
GSE280330,In vivo single-cell ribosome profiling reveals cell-type-specific translational programs during aging [scRNA-Seq],include,13,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,aged_skin; aging_generic; aged; young_vs_old,skin_direct; epidermal_sample,young_vs_old,,,,1,2026/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280330
GSE328343,Knockdown of C3 in HDF cells,exclude,3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,senescence,hdf,,,,,0,2026/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328343
GSE336400,Age-related changes in the phenotype and function of mouse skin macrophages,include,8,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin; dermis,skin_aging; aged_skin; age_related; aging_generic; aged; young_vs_old,skin_direct,,aged_skin_treatment,,blood,1,2026/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336400
GSE294389,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis,include,6,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,intrinsic_skin_aging,epidermis,aged_skin; aged,,,,,,0,2026/06/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294389
GSE294336,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [RNA-seq Aged_adult],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294336
